id	PD_meta_logFC	PD_meta_p	PD_I2	PD_meta_FDR
A1BG	0.173967571768508	2.62482023735667e-11	0	1.04144044481307e-10
A1BG-AS1	0.0897897067782025	0.00881801394421758	0	0.0126814317901334
A1CF	-0.0684057448719343	0.0738006323808966	0	0.0872822769821148
A2M	-2.1903273780837	6.29007735074149e-42	0	2.46104393005042e-40
A2ML1	0.204603950848038	0.0670845662375464	0	0.0801009083295793
A2MP1	0.0645478626779789	0.033686097668593	0	0.042957872147088
A4GALT	0.367803463801859	1.12344337883975e-11	0	4.60639877793422e-11
A4GNT	0.0185459743242416	0.208347996391533	0	0.224530848474284
AA06	0.0835065816523223	0.00108764135999915	0	0.00184187280164347
AAAS	0.270828245949902	3.40817681372004e-14	0	1.74590415191901e-13
AACS	-0.30951339353065	1.79867844572626e-30	0	3.04055886837532e-29
AACSP1	-0.116358876922656	1.54725847730718e-11	0	6.26018419811341e-11
AADAC	-1.23118919711956	4.28606223139285e-54	0	4.54751202750782e-52
AADACL2	-2.03358540695824	9.82520923277167e-53	0	9.2783926142148e-51
AADACP1	-0.16221859152902	2.2912410645412e-07	0	6.17283272309628e-07
AADAT	-0.276715176833335	1.020343288183e-15	0	5.93866792157366e-15
AAED1	0.184900625770615	2.16792851079392e-06	45.3890788228994	5.25223996631161e-06
AAGAB	-0.119990059091492	1.7783926558688e-05	8.8117885944191	3.86835974970283e-05
AAK1	0.22588448493908	5.63199739651771e-13	0	2.60606303337583e-12
AAMDC	-0.198213791340901	1.89431756256312e-10	0	6.9193612547491e-10
AANAT	0.0709584235045751	0.000771032813591205	0	0.00133799488731427
AAR2	-0.00615309115304427	0.780001729869849	20.8845522703153	0.796382384335021
AARS	0.422954862766973	2.8253334428511e-28	14.6096736755785	4.12635945819475e-27
AARS2	-0.111112600495244	4.87144580514101e-05	0	0.000100086875483914
AARSD1	-0.110772287980531	2.95008145948336e-06	0	7.04216771899171e-06
AASDH	-0.223681635239774	3.42730793234435e-10	0	1.22291499853007e-09
AASS	-0.227689546448209	3.04429318808589e-06	0	7.25745654685503e-06
AATK	0.0713577663875192	0.00896502028728598	0	0.0128784701275707
AB074162	-0.272616161423122	3.30333941901442e-12	0	1.42609701054962e-11
ABCA1	0.196237839550486	8.73456452151814e-07	0	2.20992201254906e-06
ABCA11P	-0.208433051547758	3.04844660890831e-09	37.5732266363358	9.96643673824165e-09
ABCA12	-1.18282215274376	1.36943557220225e-39	0	4.53220356253432e-38
ABCA13	-0.128674297121411	0.138645167019335	0	0.154681937126724
ABCA17P	-0.0549169022130989	0.0144293919228442	0	0.0198765039034933
ABCA2	0.0595504405545739	0.109799642550944	0	0.124973569299639
ABCA5	-0.371466250022932	1.8007671841137e-14	0	9.46951536439032e-14
ABCA6	0.0631233417841163	0.104278167213662	0	0.119283694953883
ABCA7	0.140199237294239	0.00039644485048217	0	0.000716787867697163
ABCA9	0.146958228389472	5.54574863452945e-06	0	1.28044890067854e-05
ABCB1	0.297838607793315	6.2809088630977e-13	0	2.89297122481341e-12
ABCB10	-0.568580712337132	5.18125820356293e-25	0	5.98517942772735e-24
ABCB6	-0.108225919390849	0.000407171467687666	0	0.000735003178811293
ABCB7	-0.24128882837797	2.27050160574977e-16	0	1.39914716306486e-15
ABCB8	-0.044580186380463	0.139273072762291	0	0.155324826155533
ABCB9	0.111765187936104	0.00858131912487443	2.95175065499888	0.0123738673918948
ABCC1	-0.130327351939563	6.91599675242818e-07	0	1.76565935489805e-06
ABCC12	-0.0842883946774072	0.000446286670160775	0	0.000801281372654778
ABCC13	-0.00538350296469137	0.806114715832427	63.6115346421919	0.821462775676242
ABCC3	0.232714267858921	2.35682597048447e-12	0	1.02979820808208e-11
ABCC4	0.099875064173392	0.0218644413352803	2.06819488579038	0.0289955832927322
ABCC9	0.0821890421351965	0.000193361836937604	0	0.000365086093671472
ABCD1	0.231288772923614	1.60749946117679e-10	0	5.91844616886012e-10
ABCD2	0.129219591058814	8.2749891611337e-14	0	4.11060257503081e-13
ABCD3	-0.345215894113946	1.7397086391333e-10	0	6.3804645636534e-10
ABCE1	-0.221297892901733	1.91884724850483e-08	0	5.7866991842972e-08
ABCF1	-0.0922650978762281	0.000282615929958742	0	0.000522289295969859
ABCF2	-0.0420103870362255	0.223286300833201	0	0.23927132890497
ABCG1	-0.334111159222595	7.59841730373618e-14	0	3.78703102811521e-13
ABCG4	-0.154793066594555	8.64801470367803e-09	0	2.69915627634955e-08
ABCG5	-0.0756152254234772	0.000272664109178693	0	0.000505036202223874
ABCG8	0.0777088469797802	5.54431253363131e-05	0	0.000113074135197996
ABHD1	0.157216505728111	2.72618852844353e-08	0	8.11423473391682e-08
ABHD10	0.187184398872455	8.1789192611864e-11	11.052511185168	3.1018327736337e-10
ABHD11	0.121177567388649	0.00420276520401565	66.059865855602	0.00641113633159931
ABHD12	0.118655964960593	0.00164323826311661	0	0.00269568790830689
ABHD12B	0.0632722958967513	1.36353115517861e-05	0	3.00770593689087e-05
ABHD13	-0.285195816958241	4.44179778397434e-09	0	1.42607167371921e-08
ABHD14A	0.480183740461491	2.08125021682414e-21	0	1.85563569752136e-20
ABHD14B	0.350497368008221	9.68658562297354e-09	0	3.01028505998577e-08
ABHD15	0.08988369380432	0.00893549953299921	34.0727745168211	0.0128401533681251
ABHD17A	-0.125375290809107	0.0300319161355703	0	0.0387277951910546
ABHD17B	-0.54317060373707	3.21234898377912e-27	0	4.35320350266146e-26
ABHD17C	-0.118731730141027	0.00789306793987546	0	0.0114636658693561
ABHD2	0.107067358750583	7.69955597778859e-05	0	0.000153897264152674
