id	PD_meta_logFC	PD_meta_FDR	OP_mean_logFC	OP_meta_FDR
ACLY	0.0683956725409144	0.0161410470518226	0.140203403514495	0.0589524041962424
ACTN1	0.18828297841587	2.21569709230034e-05	0.157641525394546	0.0729978304829779
CAPZA1	0.438569998572601	0.0019321120839705	0.133211044092782	0.0957231291685446
CDYL	-0.213152931892147	1.17972081818316e-12	-0.119567467985809	0.088487202371257
CYSLTR2	0.048803290429644	0.0569449823723805	0.208157049528693	0.0359079766534698
DAP3	-0.0662977487787601	0.00283498510269538	-0.0826071201216931	0.0906680095836422
DAPK2	-0.166284529079464	9.28306188801559e-10	-0.115920387277318	0.0770365910016992
ECE1	0.340669316500792	3.23650008293149e-25	0.0962838344693633	0.0782362589449639
EIF3D	-0.0733296324432492	0.0729296694190851	-0.0722581386240382	0.0635366291255485
ERICH1	-0.160273851133519	1.58836382551931e-07	-0.155903666110322	0.0980887137561273
HBP1	0.114055676112516	0.0820868964231287	0.877546430418646	0.0454972172962296
HIST1H2BO	-0.0380998082207682	0.0939751926177762	-0.18104545668404	0.0433824325877159
MAP1LC3B	0.251354769402069	4.24471218226062e-13	0.24048421094686	0.0700145764944866
MBD1	-0.0715547811325357	0.00862941913380752	-0.113626613460875	0.0794464460801913
NOP16	-0.191742290725533	4.39060665927587e-07	-0.0823248405198865	0.0958727294425595
PAPD7	-0.0937021603676257	0.00198565377938879	-0.155791501778548	0.0306838931770202
PFDN5	-0.0747233474329635	0.0635623285816094	-0.178292953789825	0.0505900371877312
PTMA	-0.851895852826381	1.10420382023994e-16	-0.536770919201565	0.0454972172962296
RAB2A	0.199379820634409	2.65758298508642e-07	0.133265073397465	0.0454972172962296
RECK	0.129719206393936	0.00666053387604753	0.168249973003423	0.0876895605257117
SCD5	0.264027464927246	1.19467070822251e-06	0.259822545916133	0.0799607950943813
SEC22B	0.184340887066173	0.000386686596671882	0.261954992250676	0.0455886517656741
SFSWAP	-0.168419906911831	1.46959048958421e-06	-0.166417354437016	0.00988621584368215
SLC25A14	-0.0654211423600781	0.0217902046623581	-0.131086266252886	0.0441717500099726
TUBA8	0.0633852868013958	0.0216151901951934	0.122640524516335	0.0974632037526809
UTP6	-0.143659552233012	1.75878997091999e-08	-0.123528586712753	0.0454972172962296
ZNF264	0.10874267383973	0.0142365066609834	0.185955099049126	0.0805646145902433
