id	PD_meta_logFC	PD_meta_se	PD_meta_p	PD_I2	PD_tau2	PD_meta_FDR
ABCB4	0.291539131709273	0.0461364376525026	2.63151198076184e-10	0	0	1.19726906349845e-09
ABCC6P1	0.0556124277299374	0.0256832899150284	0.0303635262408277	50.0664569227376	0.000661777428208653	0.0501260294991145
ABCD1P2	0.0438846655155001	0.0424294636592546	0.30099735498569	68.6543604310096	0.00249221814937224	0.378533576675202
AC078883.4	0.00614056394243676	0.0188768017515077	0.744956422914285	0	0	0.802189754042768
ACOT2	-0.102408337919	0.0327290735103791	0.00175419327572166	0	0	0.00375004663370755
ACSM2B	0.0357051053326618	0.0264189358501167	0.176536367650268	46.3912281659523	0.000647836640673924	0.238509993666133
ACTA2	0.353721114014026	0.0709107282320003	6.09256944654765e-07	0	0	2.05210963141469e-06
ACTBP9	0.126895767166753	0.0627871420542712	0.0432748965603234	0	0	0.0690016240567359
ACTG1	0.0281243852456115	0.0186446022019848	0.131440285289743	0	0	0.18437709106826
ACTR3BP5	-0.00438455061919806	0.0341438214150734	0.897821214910007	64.676372582409	0.00150801363940245	0.925512023436294
ACTR3P2	-0.0628806025741189	0.0168375823867349	0.000188059593256699	0	0	0.000467593094535254
ACY1	0.231251022816721	0.0313031374389207	1.4964765658901e-13	0	0	8.99957187376125e-13
ADAM1A	-0.442921615690006	0.0664456130435992	2.62999707582105e-11	0	0	1.28397048252162e-10
ADAM3B	0.0338700011491129	0.0246203786955796	0.168917725082068	0	0	0.229179552062946
AF279782	-0.0745248143513832	0.0219107823853519	0.000670698761549431	0	0	0.00152775156955821
AGAP11	0.0791979639673647	0.0216862215298414	0.000260211355801263	0	0	0.000633399630787949
AGAP4	0.0805669821566561	0.020820529597685	0.000109017049929242	2.92687864461373	2.53757765839859e-05	0.000281532886741489
AGAP9	-0.0940855822489639	0.0397234380638529	0.0178596277892819	28.0920803860896	0.000892569905716799	0.0307936836287419
AHCTF1P1	0.0478875397324337	0.0376970288634615	0.203968305266089	25.4227047945021	0.000722899690137138	0.270195819018645
AK023507	-0.0139560316488744	0.0357076004381411	0.695913993051999	0	0	0.761169616063169
AK055364	-0.00239057909905315	0.0117532079689943	0.838823955953986	0	0	0.87770983470682
AK055967	-0.155844113292674	0.0341338029502276	4.97871382807992e-06	0	0	1.49189735055222e-05
