node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
ZNF250,1.0,0.0,1.0,1.0,1.332,1.0,0.05882,1.0,0.17647,0.0,0.0,0.0,
ZNF16,1.0,0.0,1.0,1.0,1.332,1.0,0.05882,1.0,0.17647,0.0,0.0,0.0,
PERP,1.0,0.0,1.0,1.0,1.942,1.0,0.13725,6.46667,1.92157,0.0,0.0,0.0,
SERPINB5,2.0,0.0,1.0,2.0,3.024,2.0,0.16471,8.28333,2.7146,52.0,80.0,0.0,
LAMB3,2.0,0.0,1.0,2.0,4.525,3.0,0.20588,10.25,3.44662,100.0,156.0,0.0,
OTUB2,1.0,0.0,1.0,1.0,5.531,1.0,0.13725,10.06667,3.38562,0.0,0.0,0.0,
LY6E,34.0,0.47549,6.0,6.0,13.203,1.0,0.13725,13.98333,3.87364,5.11905,22.0,0.66667,
IFI35,52.0,0.52304,6.0,6.0,13.217,1.0,0.13725,13.98333,3.87364,4.35238,20.0,0.73333,
STAT2,48.0,0.58344,5.0,5.0,12.719,1.0,0.13725,13.15,3.78214,0.4,2.0,0.9,
FTH1,1.0,0.0,1.0,1.0,5.393,1.0,0.13725,9.9,3.35512,0.0,0.0,0.0,
GBP5,28.0,0.38039,6.0,6.0,12.981,2.0,0.13725,13.98333,3.87364,18.95238,44.0,0.53333,
FCGR1B,2.0,0.30779,2.0,2.0,8.294,1.0,0.13725,10.98333,3.50763,0.0,0.0,1.0,
DMKN,1.0,0.0,1.0,1.0,1.316,1.0,0.05882,1.0,0.17647,0.0,0.0,0.0,
CNFN,1.0,0.0,1.0,1.0,1.316,1.0,0.05882,1.0,0.17647,0.0,0.0,0.0,
DTL,1.0,0.0,1.0,1.0,1.337,1.0,0.05882,1.0,0.17647,0.0,0.0,0.0,
CDC7,1.0,0.0,1.0,1.0,1.337,1.0,0.05882,1.0,0.17647,0.0,0.0,0.0,
IL15RA,1.0,0.0,1.0,1.0,5.275,1.0,0.13725,9.9,3.38562,0.0,0.0,0.0,
PLCG2,1.0,0.0,1.0,1.0,5.23,1.0,0.13725,9.9,3.38562,0.0,0.0,0.0,
CD37,1.0,0.0,1.0,1.0,5.554,1.0,0.13725,9.9,3.38562,0.0,0.0,0.0,
IRF7,72.0,0.40573,9.0,9.0,14.113,3.0,0.16471,16.53333,4.27015,92.53773,210.0,0.47222,
SIGLEC1,20.0,0.38039,6.0,6.0,13.063,1.0,0.13725,14.48333,3.96514,27.66667,68.0,0.53333,
CCL8,18.0,0.45378,5.0,5.0,12.128,1.0,0.16471,14.36667,4.11765,13.62821,48.0,0.7,
CD40,17.0,0.38896,5.0,8.0,12.743,4.0,0.16471,15.7,4.17865,157.58059,254.0,0.21429,
CXCL1,10.0,0.37893,4.0,6.0,12.17,18.0,0.20588,15.41667,4.30065,167.14176,344.0,0.26667,
HSPG2,4.0,0.30898,3.0,3.0,5.739,2.0,0.20588,10.66667,3.44662,20.60733,72.0,0.66667,
COL15A1,2.0,0.30779,2.0,2.0,4.392,1.0,0.16471,8.4,2.7146,0.0,0.0,1.0,
BMP6,2.0,0.0,1.0,2.0,6.349,1.0,0.16471,11.03333,3.66013,17.36868,60.0,0.0,
BGN,5.0,0.30898,3.0,4.0,6.602,1.0,0.20588,11.16667,3.47712,36.05934,116.0,0.33333,
CFB,8.0,0.37893,4.0,4.0,11.298,1.0,0.16471,13.53333,4.02614,3.61905,14.0,0.66667,
MMP12,5.0,0.30779,2.0,5.0,9.33,8.0,0.27451,14.0,4.11765,248.96465,490.0,0.1,
ISG15,63.0,0.47564,7.0,10.0,13.937,7.0,0.16471,16.36667,4.17865,101.37674,226.0,0.31111,
SERPING1,15.0,0.25931,5.0,9.0,13.706,4.0,0.16471,15.86667,4.14815,118.19579,242.0,0.19444,
C3,8.0,0.46346,3.0,5.0,12.136,1.0,0.16471,14.36667,4.11765,42.33333,60.0,0.4,
A2M,9.0,0.37893,4.0,5.0,12.218,1.0,0.20588,14.75,4.23965,132.09634,270.0,0.4,
